https://leetcode.com/problems/minimum-score-triangulation-of-polygon/	Date	Not Done
https://leetcode.com/problems/last-stone-weight-ii/	Date	Not Done
https://leetcode.com/problems/minimum-cost-tree-from-leaf-values/	Date	Not Done
https://leetcode.com/problems/stone-game-vii/	Date	Not Done
https://leetcode.com/problems/burst-balloons/	Date	Not Done
https://leetcode.com/problems/remove-boxes/	Date	Not Done
https://leetcode.com/problems/strange-printer/	Date	Not Done
https://leetcode.com/problems/valid-permutations-for-di-sequence/	Date	Not Done
https://leetcode.com/problems/minimum-cost-to-merge-stones/	Date	Not Done
https://leetcode.com/problems/allocate-mailboxes/	Date	Not Done
https://leetcode.com/problems/minimum-cost-to-cut-a-stick/	Date	Not Done
https://leetcode.com/problems/stone-game-v/	Date	Not Done
5.bit DP	Date	Not Done
https://leetcode.com/problems/can-i-win/	Date	Not Done
https://leetcode.com/problems/partition-to-k-equal-sum-subsets/	Date	Not Done
https://leetcode.com/problems/stickers-to-spell-word/	Date	Not Done
https://leetcode.com/problems/shortest-path-visiting-all-nodes/	Date	Not Done
https://leetcode.com/problems/smallest-sufficient-team/	Date	Not Done
https://leetcode.com/problems/maximum-students-taking-exam/	Date	Not Done
https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other/	Date	Not Done
https://leetcode.com/problems/minimum-cost-to-connect-two-groups-of-points/	Date	Not Done
https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/	Date	Not Done
https://leetcode.com/problems/distribute-repeating-integers/	Date	Not Done
https://leetcode.com/problems/maximize-grid-happiness/	Date	Not Done
6.Digit DP	Date	Not Done
https://leetcode.com/problems/non-negative-integers-without-consecutive-ones/	Date	Not Done
https://leetcode.com/problems/numbers-at-most-n-given-digit-set/	Date	Not Done
https://leetcode.com/problems/numbers-with-repeated-digits/	Date	Not Done
7.DP on Trees	Date	Not Done
https://leetcode.com/problems/unique-binary-search-trees-ii/	Date	Not Done
https://leetcode.com/problems/house-robber-iii/	Date	Not Done
https://leetcode.com/problems/maximum-product-of-splitted-binary-tree/	Date	Not Done
https://leetcode.com/problems/linked-list-in-binary-tree/	Date	Not Done
https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree/	Date	Not Done
https://leetcode.com/problems/binary-tree-cameras/	Date	Not Done
https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/	Date	Not Done
https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/	Date	Not Done
8.String DP	Date	Not Done
https://leetcode.com/problems/is-subsequence/	Date	Not Done
https://leetcode.com/problems/palindrome-partitioning/	Date	Not Done
https://leetcode.com/problems/word-break/	Date	Not Done
https://leetcode.com/problems/unique-substrings-in-wraparound-string/	Date	Not Done
https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/	Date	Not Done
https://leetcode.com/problems/longest-string-chain/	Date	Not Done
